,id,text,author_title,stemmed_text
0,0,oczach twych kolor nieba moich stron uśmiech dnia cienie liści drżą głosie echo słów sprzed szepty traw giął letni wiatr zabierz tamtych miejsc pędził czas rytm serc każdą chwil chciał oddać tę tę zabierz tamten dach pachnie chleb cisza gra każda nut brzmi dłoni mej miejsce twą małą dłoń zamknąć życie klatce rąk myślach mych miejsce wspomnień znasz często gościsz często zabierz tamtych miejsc pędził czas rytm serc każdą chwil chciał oddać tę tę zabierz tamten dach pachnie chleb cisza gra każda nut brzmi,czerwone_gitary-niebo_z_moich_stron,oko:s2 twój:a kolor niebo mój:a strona uśmiech dzień:s1 cień liście drżeć głos echo słowo sprzed szept trawa giąć letni wiatr zabrać tamten miejsce pędzić czas:v rytm serce każdy chwila chcieć oddać ten ten zabrać tamten dach pachnieć chleb cisza gra każdy nut brzmieć:v1 dłoń mój:a miejsce twój:a mały:a dłoń zamknąć życie klatka ręka myśl mój:a miejsce wspomnienie znać:v często gościć często zabrać tamten miejsce pędzić czas:v rytm serce każdy chwila chcieć oddać ten ten zabrać tamten dach pachnieć chleb cisza gra każdy nut brzmieć:v1
1,1,wrócą ptaki mazurskich gniazd ruszaj żeglarze płyną szlakiem gwiazd wróćmy jeziora wędrowny rejs znajdziesz cel swojej drogi wśród szumiących drzew białe żagle szmaragdowa toń przyjacielska dłoń wrócisz gitarą ogniska blask zostań noc śpi szuwarach pieśni słucha las wróćmy jeziora samotny brzeg zostań las woda masztów cichy śpiew białe żagle kryje mgła mów przygoda trwa bis wróćmy jeziora zapadnie mrok znajdziesz swoją przygodę wrócisz rok bis,czerwone_gitary-wrocmy_nad_jeziora,wrócić:v1 ptak mazurski gniazdo ruszać żeglarz:s1 płynąć szlak gwiazda wrócić:v1 jezioro wędrowny rejs znajść cel swój drogi:a wśród szumieć:v1 drzewo biały:a żagle szmaragdowy toń przyjacielski dłoń wrócić:v1 gitara ognisko blask zostać noc spać szuwar pieśń słuchać las wrócić:v1 jezioro samotny brzeg zostać las woda maszt cichy śpiew biały:a żagle kryć mgły mowa przygoda trwać bis:s1 wrócić:v1 jezioro zapadni mrok znajść swój przygoda wrócić:v1 rok:s1 bis:s1
2,2,wiedzą jesteś jedną ew najmilszych medal zgadł nagle wpadł mych uczuć tajny ślad nikt świecie wie kocham ewie nikt świecie wie nikt nikt zgadnie sercu dnie sekret znam przyszło myśl chce zdemaskować skoro świt jurcio grał płyt piosenki tajny rytm la la la la la la la la la la la la la la la la la la la nikt zgadnie sercu dnie sekret znam wtór mych przyjaciół chór śpiewa głośno refren wpadł odkrył ślad tajemnicę mą wkradł nikt świecie wie kocham ewie nikt świecie wie nikt nikt zgadnie sercu dnie sekret znam nikt świecie wie kocham ewie nikt świecie wie nikt nikt zgadnie sercu dnie sekret znam,czerwone_gitary-nikt_na_swiecie_nie_wie,wiedza być jeden:a Ewy miły:a medal zgadnąć nagle wpaść:v1 mój:a uczucie tajny ślad nikt świat wiedzieć kochać Ewa nikt świat wiedzieć nikt nikt zgadnąć serce dna sekret znać:v przyjść myśl chcieć zdemaskować skoro:d świt jurcio grać płyt piosenka tajny rytm la:s la:s la:s la:s la:s la:s la:s la:s la:s la:s la:s la:s la:s la:s la:s la:s la:s la:s la:s nikt zgadnąć serce dna sekret znać:v wtór mój:a przyjaciel chór śpiewać głośno refren wpaść:v1 odkryć ślad tajemnica mój:a wkraść nikt świat wiedzieć kochać Ewa nikt świat wiedzieć nikt nikt zgadnąć serce dna sekret znać:v nikt świat wiedzieć kochać Ewa nikt świat wiedzieć nikt nikt zgadnąć serce dna sekret znać:v
3,3,słowa słowa choćby słów codziennie nowa jutro słowa słowa wciąż brak zwykła rozmowa potrzeba rozmowy słów takich znasz sercu masz zwykłe przebacz bywaj zdrów hej mniej słowa słowa pomocna dłoń łódź ratunkowa okład skroń słowa słowa myśli prosty znak żałować potrzeba rozmowy słów takich znasz sercu masz zwykłe przebacz bywaj zdrów hej mniej,czerwone_gitary-slowa,słowo słowo choćby:q słowo codziennie nowy:a jutro:d słowo słowo wciąż brak:v zwykły:a1 rozmowa potrzeba:v rozmowy słowo taki:a znać:v serce mieć zwykły:a1 przebaczyć bywać zdrowy hej mało:d słowo słowo pomocny dłoń łódź ratunkowy okład skroń słowo słowo myślić prosty:a znak żałować potrzeba:v rozmowy słowo taki:a znać:v serce mieć zwykły:a1 przebaczyć bywać zdrowy hej mało:d
4,4,bywa chmurą oceanu znikną przyjaciele często dzieje żyją twej pamięci potrzeba żyje serce niedaleko biały świt obudzi tras ludzi dawnych powracamy pamiętali posyłamy kwiaty drzew płomień kwiatów pali pali serdeczny śpiew pamiętali dziękujemy głębi dusz hej wędrowcze wołaj ciemnej dali muzyczki naszej wróż miewa przerwy życiorysie znika zaklęty bierze złe zakręty długo milczy godziny liczy marzec grudzień styczeń niedaleko nowy świt obudzi tras ludzi dawnych powracamy pamiętają posyłamy kwiaty drzew płomień kwiatów pali pali serdeczny śpiew pamiętają dziękujemy głębi dusz hej wędrowcze wołaj ciemnej dali muzyczki naszej wróż hej wędrowcze wołaj ciemnej dali muzyczki naszej wróż,czerwone_gitary-wszystkim_ktorzy_o_nas_pamietali,bywać chmura ocean zniknąć przyjaciel często dziać żyć twój:a pamięć potrzeba:v żyć serce niedaleko:d biały:a świt obudzić tras człowiek dawny powracać:v1 pamiętać posyłać kwiat drzewo płomień kwiat pali pali serdeczny śpiew pamiętać dziękować głębić dusz hej wędrowczy wołać ciemny dać muzyczka nasz wróż miewać przerwa życiorys znikać zaklęty brać:v zły:a zakręt długo milczeć godzina liczyć marzec grudzień styczeń niedaleko:d nowy:a świt obudzić tras człowiek dawny powracać:v1 pamiętać posyłać kwiat drzewo płomień kwiat pali pali serdeczny śpiew pamiętać dziękować głębić dusz hej wędrowczy wołać ciemny dać muzyczka nasz wróż hej wędrowczy wołać ciemny dać muzyczka nasz wróż
5,5,zobacz pająki tkały welon widzisz pajęczej przędzy tkany tiul staniesz rankiem błysną klejnoty rosy zobacz rozwija konwalii kwiat słuchaj dźwięk leśnych dzwonków niesie wiatr idziesz idziesz dzwonią dzwony ziemi jedyne słowo słów najwięcej znaczy słów znalazłaś uśmiech dnia uczyłaś kochać świat zobacz przejrzystej wody pełen dzban spróbuj prezencie ślubnym strumień dał wzniesiesz pierwszy toast wzniosą toast leśne echa jedyne słowo słów najwięcej znaczy słów znalazłaś uśmiech dnia uczyłaś kochać świat popatrz kobierzec igieł utkał las ślubu będziesz szła idziesz idziesz kwitną kwiaty ziemi,czerwone_gitary-slowo_jedyne_ty,zobaczyć pająk:s1 tkać welon:s1 widzieć pajęczy przędza tkać tiul stanąć ranek błysnąć klejnoty rosa zobaczyć rozwijać konwalia kwiat słuchać dźwięk leśny:a dzwonki nieść wiatr iść iść dzwonić dzwony ziemia jedyny:a słowo słowo najwięcej znaczyć słowo znaleźć uśmiech dzień:s1 uczyć kochać świat zobaczyć przejrzysty woda pełny dzban spróbować prezent ślubny:a strumień dać wznieść pierwszy:a toast wznieść toast leśny:a echo jedyny:a słowo słowo najwięcej znaczyć słowo znaleźć uśmiech dzień:s1 uczyć kochać świat popatrzeć kobierzec igła utkać:v1 las ślub być iść iść iść kwitnąć kwiat ziemia
6,6,niebo wschodzie rumieńcem chwali ptakami budzą wędrowne gitary świt puka okien śpij miary mówią dzień dobry wędrowne gitary pech dogoni chodzisz pary wnet pocieszą wędrowne gitary rób siebie życiowej ofiary zaśpiewaj grają wędrowne gitary latem wodą zaszumią szuwary usłyszysz echo wędrownej gitary brzęczy komar ptak śpiewa oddali grają wędrowne gitary noc złote iskry niebie zapali snu kołyszą wędrowne gitary przyśni sekwana paryż walca zaproszą wędrowne gitary płynie melodia poddaj fali zaufaj piosence wędrownej gitary piosenka woła czyś młody stary zaśpiewaj grają wędrowne gitary,czerwone_gitary-wedrowne_gitary,niebo wschód rumieniec chwalić ptak budzić wędrowny gitara świt pukać okno spać miara mówić dzień:s1 dobry:a wędrowny gitara pech dogonić chodzić par:s2 wnet pocieszyć wędrowny gitara robić siebie życiowy ofiara zaśpiewać grać wędrowny gitara lato woda zaszumieć szuwary usłyszeć echo wędrowny gitara brzęczyć komar ptak śpiewać oddać grać wędrowny gitara noc złoty:a iskra niebo zapalić sen:s1 kołysać wędrowny gitara przyśnić:v1 Sekwana Paryż:s1 walc zaprosić wędrowny gitara płynąć melodia poddać fala zaufać piosenka wędrowny gitara piosenka wół czy:q młody:a stary:a zaśpiewać grać wędrowny gitara
7,7,kogoś pokocha raz pierwszy prawdziwie myśli jednym wzajemnie szczęśliwie księżyc gwiazdy niebie kwiaty ziemi pozwalają uwierzyć tracić nadziei często nocy budzi myśl nurtuje kocha lubi szanuje chce dba żartuje bis,czerwone_gitary-gdy_ktos_kogos_pokocha,kto pokochać raz:s1 pierwszy:a prawdziwie myślić jeden:a wzajemnie szczęśliwie księżyc gwiazda niebo kwiat ziemia pozwalać:v1 uwierzyć tracić nadzieja często noc budzić myśl nurtować kochać luby:a szanować chcieć dbać żartować bis:s1
8,8,estradowe gwiazdy błyszczą blasku tracisz wzrok jesteś gotów dać byle grały rok morzu świateł toną twarze wiesz gra blisko twoich marzeń tyłu plecami tle tyłu gwiazdami choć estrada riviera miejsce pałkera tyłu plecami tle blasku sławy świat idola sercach kobiet czuły kąt kwiaty zimna cola wybaczą błąd pieszczą gitar gryfy bębny muszę grzać uwielbiani riffy tyłu plecami tle przyjdzie chwila wiem umilkną gitary zobaczycie gary przodu tyłu tle tyłu plecami tle przyjdzie chwila wiem umilkną gitary zobaczycie gary przodu tyłu tle umilkną gitary zobaczycie gary przodu tyłu tle,czerwone_gitary-zawsze_w_tle,estradowy gwiazda błyszczeć blask tracić wzrok być gotów dać byle:q grać rok:s1 morze światła tonąć twarz wiedzieć gra blisko:d twój:a marzenia tył plecy tło tył gwiazda choć:c estrada riviera miejsce pałker tył plecy tło blask sława świat idol:s1 serce kobieta czuły kąt kwiat zimny cola wybaczyć błąd pieścić gitara gryf:s1 bęben:s1 musza grzać uwielbiać riff tył plecy tło przyjść chwila wiedzieć umilknąć gitara zobaczyć gary przód tył tło tył plecy tło przyjść chwila wiedzieć umilknąć gitara zobaczyć gary przód tył tło umilknąć gitara zobaczyć gary przód tył tło
9,9,lato jagód lipcowych smak żółte liście gna jesienią wiatr wiosną śniegi spływają gór szybach zimą kwitnie mróz lubię mroźną zimę puszysty śnieg kocham narty zima najpiękniejsza lubi zimowy zły wiatr rzeki pokrywa kra drugi woli siebie wciąż iść jesienią czerwienieje liść lubię lato wśród słonecznych plaż lubię pływać lato najpiękniejsze lubi wiosną snu budzi rzek wezbranych nurt woli lipcowych dni blask miodem pachnie las lubię cztery pory każda wiosna lato jesień zima przypomina,czerwone_gitary-cztery_pory_roku,lato jagoda lipcowy smak żółty liście gnać jesień wiatr wiosna śnieg spływać:v2 góra szyba zima kwitnąć mróz lubić mroźny zima puszysty:a śnieg kochać narta zimać piękny luby:a zimowy zły:a wiatr rzeka pokrywać kra drugi:a woli siebie wciąż iścić jesień czerwienieć liść lubić lato wśród słoneczny plaża lubić pływać lato piękny luby:a wiosna sen:s1 budzić rzeka wezbrany nurt woli lipcowy dzień:s1 blask miód pachnieć las lubić cztery por:s1 każdy wiosna lato jesień zimać przypominać
