,id,text,author_title,stemmed_text
2100,2100,rock and roll zawojował świat rock and rolla dzieciak zna klaszcze tupie rocka rytm możesz razem klaskać spróbuj śpiewać proste słowa baw śpiewaj hej hej rock and roll hej hej hej rock and roll hej hej hej rock and roll hej ludzi opanował rock and rolla szał rockiem pulsuje rytm każdego dnia chociaż odszedł elvis rock and rolla król sprawimy będziesz czuł spróbuj śpiewać proste słowa baw śpiewaj hej hej rock and roll hej hej hej rock and roll hej hej hej rock and roll hej x hej hej hej hej hej hej hej hej hej hej hej hej hej hej rock and roll hej hej hej rock and roll hej hej hej rock and roll hej,kombii-hey_rock_and_roll,rock:s1 Anda roll zawojować świat rock:s1 Anda roll dzieciak znać:v klaskać tupać rock:s1 rytm móc razem klaskać spróbować śpiewać prosty:a słowo bawić śpiewać hej hej rock:s1 Anda roll hej hej hej rock:s1 Anda roll hej hej hej rock:s1 Anda roll hej człowiek opanować rock:s1 Anda roll szał rock:s1 pulsować rytm każdy dzień:s1 chociaż:c odejść Elvis rock:s1 Anda roll król:s1 sprawić być czuć:v spróbować śpiewać prosty:a słowo bawić śpiewać hej hej rock:s1 Anda roll hej hej hej rock:s1 Anda roll hej hej hej rock:s1 Anda roll hej X hej hej hej hej hej hej hej hej hej hej hej hej hej hej rock:s1 Anda roll hej hej hej rock:s1 Anda roll hej hej hej rock:s1 Anda roll hej
2101,2101,zostaw smutki zimne dni dolecimy słońca fiesta czas zabawy szklance rum noc roztańczona gorąca złocisty piach błękitny nieba dach wyspie marzenia podarowałaś gorące dni niezapomniany czas podarowałaś gorące dni oszalał świat wyspie słońca czarna noc złączyła dzień rozpalił serca wiedzieliśmy wrócimy raz tańczyć merenge końca złocisty piach błękitny nieba dach spełniają marzenia podarowałaś gorące dni niezapomniany czas podarowałaś gorące dni oszalał świat wyczarowałaś szczęśliwe dni prawdziwy lata smak podarowałem słoneczne dni zaczarowany świat wyczarowałaś szczęśliwe dni prawdziwy lata smak wyczarowałaś szczęśliwe dni prawdziwy lata smak podarowałem słoneczne dni zaczarowany świat podarowałaś gorące dni niezapomniany czas podarowałaś gorące dni oszalał świat oszalał świat oszalał świat,kombii-merenge,zostawić smutki zimny dzień:s1 dolecieć słońce fiesta czas:v zabawa szklanka rum:s noc roztańczyć gorący złocisty piach błękitny niebo dach wyspa marzenia podarować gorący dzień:s1 niezapomniany czas:v podarować gorący dzień:s1 oszaleć świat wyspa słońce czarny:a noc złączyć dzień:s1 rozpalić serce wiedzieć wrócić:v1 raz:s1 tańczyć merenge koniec złocisty piach błękitny niebo dach spełniać marzenia podarować gorący dzień:s1 niezapomniany czas:v podarować gorący dzień:s1 oszaleć świat wyczarować szczęśliwy dzień:s1 prawdziwy latać smak podarować słoneczny dzień:s1 zaczarowany świat wyczarować szczęśliwy dzień:s1 prawdziwy latać smak wyczarować szczęśliwy dzień:s1 prawdziwy latać smak podarować słoneczny dzień:s1 zaczarowany świat podarować gorący dzień:s1 niezapomniany czas:v podarować gorący dzień:s1 oszaleć świat oszaleć świat oszaleć świat
2102,2102,odległych krańcach ziemi kawałek szukałem czarnej perły zimnym oceanie kupienia mogę światu oddać zamienić spojrzenie oczy szczery uśmiech słońce blade ciepła brak brak smutnym eldorado budzę wziąłem świat serio mówiłaś żart dialektem najdzikszych plemion pytam stąd widział biegłaś złamanym sercem dal rzece łez źródła piękna chciałbym powrócić słońce blade ciepła brak brak smutnym eldorado budzę słońce blade ciepła brak brak smutnym eldorado budzę słońce blade ciepła brak brak smutnym eldorado budzę,kombii-eldorado,odległy kraniec ziemia kawałek szukać czarny:a perła zimny ocean kupić:v1 móc świat oddać zamienić spojrzenie oczyć szczery uśmiech słońce blady ciepły brak:v brak:v smutny eldorado budzić wziąć świat serio:a mówić żart dialekt dziki:a plemię pytać stąd widzieć biec złamany serce dal rzeka łza źródło piękny chcieć powrócić słońce blady ciepły brak:v brak:v smutny eldorado budzić słońce blady ciepły brak:v brak:v smutny eldorado budzić słońce blady ciepły brak:v brak:v smutny eldorado budzić
2103,2103,pogodzić strony miłość gniew twe imperium stal śmiech noc okleja gasi pochodnie ognie zła pogodzić strony prawdę strach ciszę wiatr panem dźwięk płacz noc tuszuje łzy dzień ujawnia ślady drogi zła zapal raz zaświeć płoń komuś potrzebny ogień twoich rąk pogodzić strony miłość gniew,kombii-jak_pogodzic_dwie_strony,pogodzić strona miłość gniew twój:a imperium stal śmiech:v noc oklejać gasić pochodnia ogień zły:a pogodzić strona prawda:s strach:v ciszyć wiatr pan dźwięk płacz noc tuszować łza dzień:s1 ujawniać ślad drogi:a zły:a zapalić raz:s1 zaświecić płoń kto potrzebny:a ogień twój:a ręka pogodzić strona miłość gniew
2104,2104,wciąż pogania wiecznie dogania czas poszukaj miejsc białych plam brak bądź rankiem wzgórzu słońce wynurza fal blisko bądź oczu spłynie łza wiesz możesz mieć zgubię swego dnia ciepła twoich rąk tańca moście choćby awinion zgubię swego dnia ludzi blisko skroniach szaleje tyka zegar puls daj nadzieję oddech wyspę snów zejdź cichą dolinę poczuć stanął czas przegap nieba brać wiesz możesz mieć zgubię swego dnia ciepła twoich rąk tańca moście choćby awinion zgubię swego dnia ludzi blisko x,kombii-awinion,wciąż poganiać:v3 wiecznie doganiać czas:v poszukać miejsce biały:a plama brak:v bądź:j ranek wzgórze słońce wynurzać fala blisko:d bądź:j oko:s2 spłynąć łza wiedzieć móc mieć zgubić swój dzień:s1 ciepły twój:a ręka taniec mość:s1 choćby:q Awinion zgubić swój dzień:s1 człowiek blisko:d skroń szaleć tykać zegar puls dać nadziać oddech wyspa sen:s1 zejść cichy dolina poczucie stanąć czas:v przegapić niebo brać:s wiedzieć móc mieć zgubić swój dzień:s1 ciepły twój:a ręka taniec mość:s1 choćby:q Awinion zgubić swój dzień:s1 człowiek blisko:d X
2105,2105,mamy chyba różne światy inaczej smakuje dzień widzisz trudne sprawy chcę codziennych znaleźć sens nadzieją lepiej wstajesz decydujesz los opowiadaj smutnych bajek mocniej wsłuchaj serca głos wiem czujesz ogarnia strach boję życie prowokuje zapytać obrażaj deszcz wiatr wieje twarz możesz zrobić chcesz pozytywnie patrz mówią wierz szukaj wybieraj zamiast walczyć bić lepszym stań chcesz dosięgnąć ideału stoczyć bój machasz flagą widząc chodzi x obrażaj deszcz wiatr wieje twarz możesz zrobić chcesz pozytywnie patrz mówią wierz szukaj wybieraj zamiast walczyć bić lepszym stań,kombii-rozne_swiaty,mama chybać różny świat inaczej:d smakować dzień:s1 widzieć trudny sprawa chcieć codzienny znaleźć sens nadziać dobrze wstawać decydować:v1 los opowiadać smutny bajka mocno wsłuchać serce głos wiedzieć czuć:v ogarniać strach:v bać życie prowokować zapytać obrażać deszcz wiatr wiać twarz móc zrobić chcieć pozytywnie patrzeć mówić wierzyć szukać wybierać zamiast:j walczyć bicie dobry:a stań chcieć dosięgnąć ideał:s1 stoczyć bój machać flaga widzieć chodzić X obrażać deszcz wiatr wiać twarz móc zrobić chcieć pozytywnie patrzeć mówić wierzyć szukać wybierać zamiast:j walczyć bicie dobry:a stań
2106,2106,ospali praca pozwala pospać eliminowani los nierówno rozdał niektórzy zdolni wziąć duży rozmach niektórzy chcą wiedzieć zamiast leżeć stanąć zbudzi dźwięk potłuczonego szkła mamy czego zabiorą wzrok przesłoni gęsta mgła mamy skarby mamy czego zabiorą niektórzy stworzeni żyć ogonie pogoda bogaczy stronie mgła przesłania oczy bywa chłodno zamarzną dłonie zamarznie godność x zbudzi dźwięk potłuczonego szkła mamy czego zabiorą wzrok przesłoni gęsta mgła mamy skarby mamy czego zabiorą,kombii-skarby,ospały praca pozwalać:v1 pospać eliminować los nierówno rozdać niektóry:a zdolny wziąć duży rozmach niektóry:a chcieć wiedzieć zamiast:j leżeć stanąć zbudzić dźwięk potłuc szkła mama czego zabrać wzrok przesłonić gęsty mgły mama skarb mama czego zabrać niektóry:a stworzyć życie ogon pogoda bogacz strona mgły przesłaniać oczyć bywać chłodno zamarznąć dłoń zamarznąć godność X zbudzić dźwięk potłuc szkła mama czego zabrać wzrok przesłonić gęsty mgły mama skarb mama czego zabrać
2107,2107,obudzisz nagle śpiącej kobiecie poznasz twarzy opuścisz autobus wolno wstąpisz noc przepłyniesz wielki obcy plac neony drogę pokażą świetlisty gmach otoczą zewsząd kolory wonie gwiazdy ekranu naga futrem da znak lustrzana winda uniesie będziecie płynąć nieba bram piętro raj victoria hotel hotel twoich snów telewizorze masz niebo stereo raj twa szansa możesz złapać obudzisz nagle śpiącej kobiecie poznasz twarzy opuścisz miejsce szary wstąpisz dzień postawisz kołnierz kurtki wiatr pracy pierwsza zmiana szła pójdziesz brzask victoria hotel hotel twoich snów telewizorze masz niebo stereo raj twa szansa możesz złapać victoria hotel hotel twoich snów telewizorze masz niebo stereo raj twa szansa możesz złapać spróbuj hotel twoich snów telewizorze masz niebo stereo raj twa szansa możesz złapać,kombii-hotel_twoich_snow,obudzić nagle śpiący:a kobieta poznać twarz opuścić autobus wolno:v wstąpić noc przepłynąć wielki:a obcy:a plac neon:s1 droga pokazać świetlisty gmach otoczyć zewsząd kolor wonia gwiazda ekran nagi:a futro dać znak lustrzany winda unieść być płynąć niebo bram piętro raj Victoria hotel hotel twój:a sen:s1 telewizor mieć niebo stereo:d raj twój:a szansa móc złapać obudzić nagle śpiący:a kobieta poznać twarz opuścić miejsce szary wstąpić dzień:s1 postawić kołnierz kurtka wiatr praca pierwszy:a zmiana iść pójść brzask Victoria hotel hotel twój:a sen:s1 telewizor mieć niebo stereo:d raj twój:a szansa móc złapać Victoria hotel hotel twój:a sen:s1 telewizor mieć niebo stereo:d raj twój:a szansa móc złapać spróbować hotel twój:a sen:s1 telewizor mieć niebo stereo:d raj twój:a szansa móc złapać
2108,2108,stoimy dzieci łapiąc dech szyby przyciskamy twarz szybą cuda marzeń świat zamknięty zależy reszta zależy gwiazd zależy reszty wydał nikt płacimy ostatni grosz uśmiech słowo gest kiedyś móc wykrzyczeć życiu nos reszty pięknie zależy reszta zależy gwiazd zależy reszty zależy,kombii-wszystko_zalezy_od_ciebie,stać:v3 dziecko łapać dech szyb przyciskać twarz szyba cud marzenia świat zamknięty zależeć reszta zależeć gwiazda zależeć reszta wydać nikt płacić ostatni:a grosz uśmiech słowo gest kiedy:c móc wykrzyczeć życie nos reszta pięknie zależeć reszta zależeć gwiazda zależeć reszta zależeć
2109,2109,chrystus rodzi świat przychodzi ciemna noc jasności promienistej brodzi aniołowie radują niebiosy wyśpiewują gloria gloria gloria in excelsis deo mówią pasterzy trzód swych strzegli betlejem czym prędzej pobiegli narodził zbawiciel wszego świata odkupiciel gloria gloria gloria in excelsis deo idźcie betlejem dziecię złożone pieluszki powite żłobie położone oddajcie pokłon boski osłodzi troski gloria gloria gloria in excelsis deo in excelsis deo,kombii-gdy_sie_chrystus_rodzi,Chrystus rodzić świat przychodzić ciemny noc jasność promienisty:a brodzić anioł radować niebiosy wyśpiewywać gloria gloria gloria in excelsis deo mówić pasterzyć trzoda swój strzec Betlejem czy:q prędko pobiec narodzić zbawiciel wszystek świat odkupiciel gloria gloria gloria in excelsis deo iść Betlejem dziecię złożony pieluszka powić żłób:s1 położony oddać pokłon boski osłodzić troska gloria gloria gloria in excelsis deo in excelsis deo
