,id,text,author_title,stemmed_text
1900,1900,proroków mamy rosnący ciągle tłum obrócisz dobiega ciągle złowrogi szum przerwy trują sądny dzień tuż tuż czeka piach narodowy krach bądź gotów śmiej reszty wierz strach karmi zwykle byle czym śmiej łagodnie olej świat samo zło zabiorą wiarę piekieł strącą dno wrogowie naszej krwi judasze zdrajcy wiadomo gotowa trumna słychać młotka stuk krąży kolejny prorok wieszcz czarny kruk śmiej,lady_pank-lachy_na_strachy,prorok mama rosnący ciągle tłum obrócić dobiegać:v2 ciągle złowrogi szum przerwa truć sądny dzień:s1 tuż:d tuż:d czekać piach narodowy krach bądź:j gotów śmieć:v reszta wierzyć strach:v karmić zwykle byle:q czy:q śmieć:v łagodnie olej świat sam:a zło zabrać wiara piekło strącić dno wróg nasz krew judasz:s1 zdrajca wiadomo gotowy trumna słychać:v młotek:s1 stuk:s krążyć kolejny prorok wieszcz czarny:a kruk śmieć:v
1901,1901,jesteś idolem wielbi tłum pojawisz słychać zdumionych głosów szum porannej prasie widzisz codziennie swoją twarz możnymi świata wielkie stawki grasz zamki piasku pełno szkle poranna witaj zmiano życie twe idziesz ulicą uśmiechasz skonstruowałeś bombę skondensowaną śmierć znasz datę godzinę świat zacznie bać policja krajów rysopis chce znać zamki piasku pełno szkle poranna witaj zmiano życie twe życie twe życie twe taśma kręci stoisz jesteś pionkiem grze kółkiem maszynie żyjesz zamkach pośród chmur wieżach chcąc wiedzieć czuć zmierzasz zamki piasku pełno szkle poranna witaj zmiano życie twe życie twe życie twe,lady_pank-zamki_na_piasku,być idol:s1 wielbić tłum pojawić słychać:v zdumiony głos szum poranny prasa widzieć codziennie swój twarz możny:a świat wielki:a stawka grać zamek:s1 piasek pełno:d szkło poranny witać zmiana życie twój:a iść ulica uśmiechać skonstruować bomba skondensować śmierć znać:v data godzina świat zacząć bać policja kraj rysopis chcieć znać:v zamek:s1 piasek pełno:d szkło poranny witać zmiana życie twój:a życie twój:a życie twój:a taśma kręty stać:v3 być pionek:s1 gra kółko maszyna żyć zamek:s1 pośród:d chmura wieża chcieć wiedzieć czuć:v zmierzać zamek:s1 piasek pełno:d szkło poranny witać zmiana życie twój:a życie twój:a życie twój:a
1902,1902,mówią wyglądasz obrazka gorzej zechce spojrzeć głąb miłość wynalazkiem dobrym ból głowy chory ząb masz chęć bierzesz korzystasz pamięć masz najkrótszą jaką znam leczysz dobry internista febry gram zabij robisz najchętniej zabij weźmie złość zabij mogło piękne zabij raz powiedz chcę nagród daj kosztuje dosyć całe życie szwagrów wolę przechodniem życiu zabij robisz najchętniej zabij weźmie złość zabij mogło piękne zabij raz powiedz zabij krępuj wcale zabij zrobi czas zabij wspaniale zabij bądź choć raz zabij robisz najchętniej zabij weźmie złość zabij mogło piękne zabij raz powiedz x,lady_pank-zabij_to,mówić wyglądać:v1 obrazek źle zechcieć spojrzeć głąb:s1 miłość wynalazek dobry:a ból głowa chory:a ząb mieć chęć brać:v korzystać pamięć mieć krótki jaki znać:v leczyć dobry:a internista febra grać zabić robić chętnie zabić wziąć złość zabić móc piękny zabić raz:s1 powiedzieć chcieć nagroda dać kosztować:v1 dosyć:v cały życie szwagier woleć przechodzień życie zabić robić chętnie zabić wziąć złość zabić móc piękny zabić raz:s1 powiedzieć zabić krępować wcale zabić zrobić czas:v zabić wspaniale zabić bądź:j choć:c raz:s1 zabić robić chętnie zabić wziąć złość zabić móc piękny zabić raz:s1 powiedzieć X
1903,1903,pozwól odkryć ląd brak sił wojny rock n roll zdradzaj grasz żyjesz razy wybrałeś pytaj wiem krew zatruty muzyką łeb pęka szwach ciągle donikąd droga gna ooo martwy postój x niezmienny rytuał zabija strach wódą wciąż wóda myślę spać zdradzaj grasz umrzeć biegu zrozum ooo martwy postój xj panie daj abym skończył wraca nikt bagnie tanich braw abym dzień dniem wyprzedawał sny plamił twarz bezlitosny wstyd panie daj,lady_pank-martwy_postoj,pozwolić odkrycie:s ląd brak:v siła:s wojna rock:s1 n roll zdradzać grać żyć raz:s1 wybrać pytać wiedzieć krew zatruć muzyka łeb:s1 pękać szwa ciągle donikąd drogi:a gnać ooo martwy:a postój X niezmienny rytuał zabijać strach:v wóda wciąż wóda myśleć spać zdradzać grać umrzeć bieg zrozumieć ooo martwy:a postój xj pani dać aby:c skończyć wracać:v1 nikt bagno tani brawa aby:c dzień:s1 dzień:s1 wyprzedawać sen:s1 plamić twarz bezlitosny wstyd:v pani dać
1904,1904,samochody jadą świat zabrać bym pewnie chciał iskrę oczach złapać twych nadziei łyk całą noc dzień świecie rodzi umiera woła wolności głos podróży serc czas dzieje odkrywamy nowy ląd odpływamy stąd oczach płonie świat tylu tylu poznajemy życia sens tajemniczą pieśń rozumiesz czyjeś łzy wolne serce masz swoich rękach trzymasz los wolności głos całą noc dzień świecie rodzi umiera woła wolności głos pytaj każe biec taniec skończy wiesz naprawdę pytaj wiem tyle szybko kręci świat wokół wokół zwariowane gonią dni nikt liczy wolne serce masz kochaj czas całą noc dzień świecie rodzi umiera woła wolności głos,lady_pank-wolnosci_glos,samochód jechać świat zabrać by:q pewnie:d1 chcieć iskra oko:s2 złapać twój:a nadzieja łyk:s1 cały noc dzień:s1 świat rodzić umierać wół wolność głos podróż serce czas:v dziać odkrywać nowy:a ląd odpływać stąd oko:s2 płonąć świat tyle:n1 tyle:n1 poznawać życie sens tajemniczy pieśń rozumieć czyjś łza wolny:a1 serce mieć swój ręka trzymać los wolność głos cały noc dzień:s1 świat rodzić umierać wół wolność głos pytać kazać biec taniec skończyć wiedzieć naprawdę:i pytać wiedzieć tyli szybko kręty świat wokół:d wokół:d zwariowany goń dzień:s1 nikt liczyć wolny:a1 serce mieć kochać czas:v cały noc dzień:s1 świat rodzić umierać wół wolność głos
1905,1905,obudziłem ósmą głowie szalał straszny huk czułem wielkie lustro siekierą stłukł wziąłem żeton lekarza gruntownie zbadał spytał uskarżam potem patrząc sufit rzekł hej hej wyluzuj gnoi świat raz wyje pies raz poprosiłem końcu wróżkę gnębi powiedz patrząc szklaną kulę darła gębę sił hej hej wyluzuj gnoi świat raz wyje pies raz raz hej hej wyluzuj dzień kogoś zgnoi świat raz wyje pies raz hej hej wyluzuj gnoi świat raz wyje pies raz raz kupiłem psa x,lady_pank-kupilem_sobie_psa,obudzić ósmy:a głowa szaleć straszny huk czuć:v wielki:a lustro siekiera stłuc wziąć żeton lekarz gruntownie zbadać spytać uskarżać potem patrzeć sufit rzec:v1 hej hej wyluzować gnoić świat raz:s1 wyjeść pies:s1 raz:s1 poprosić koniec wróżka gnębić powiedzieć patrzeć szklany kula drzeć gęba siła:s hej hej wyluzować gnoić świat raz:s1 wyjeść pies:s1 raz:s1 raz:s1 hej hej wyluzować dzień:s1 kto zgnoić świat raz:s1 wyjeść pies:s1 raz:s1 hej hej wyluzować gnoić świat raz:s1 wyjeść pies:s1 raz:s1 raz:s1 kupić:v1 pies:s1 X
1906,1906,tango stulecia epoki bal tamtym swiecie chyba trwa odchodza cienie upiornych widm postrasza byle czym ostatnie tango swietuja lukrecja borgia dzingis chan wciaz plonal rzym postrasza byle czym postrasza byle czym zywi wiecej widm pare minut popis dac odechce smiac tango stulecia bal sennych mar parkiecie sto frunie par inkwizytorzy lowcy glów konkwistatorzy ameryk dwóch ostatnie tango ostatni bal tamtego swiata odchodzic zal racje bytu stracili postrasza byle czym postrasza byle czym zywi wiecej widm pare minut popis dac odechce smiac tango stulecia tango stulecia ostatni bal tamtym swiecie chyba trwa,lady_pank-tango_stulecia,tango stulecie epoka bal:s1 tamten swiecie chybać trwać odchodza cień upiorny widma postRasz:s1 byle:q czy:q ostatni:a tango swietuja lukrecja Borgia dzingis chan:s1 wciaz plonal Rzym:s1 postRasz:s1 byle:q czy:q postRasz:s1 byle:q czy:q zywi wiecej widma pare minuta popis Dac:s1 odechcieć smiac tango stulecie bal:s1 senny mara parkiet sto frunąć:v1 par:s1 inkwizytor lowcy Glów konkwistatorzy ameryk dwa ostatni:a tango ostatni:a bal:s1 tamten swiata odchodzic zal racja byt stracić postRasz:s1 byle:q czy:q postRasz:s1 byle:q czy:q zywi wiecej widma pare minuta popis Dac:s1 odechcieć smiac tango stulecie tango stulecie ostatni:a bal:s1 tamten swiecie chybać trwać
1907,1907,miejsce szarym świecie kraj szczerych ludzi gówno wiecie kraj przeżarty kłamstwem przeżarty złodziejami kraj rządzony siłą rządzony układami wszystkiego kraj szczególnego kraj rządzony siłą wojska kraj oszustów właśne polska miejsce szarym świecie kraj subkultury gówno wiecie kraj wielkich punów kraj metalowców kraj łysysch zwierząt hardkorowców,bunkier-kraj,miejsce szary świat kraj szczery człowiek gówno wiedzieć kraj przeżreć kłamstwo przeżreć złodziej kraj rządzić siła:s rządzić układ wszystko:s kraj szczególny kraj rządzić siła:s wojska kraj oszust właśne polski:a miejsce szary świat kraj subkultura gówno wiedzieć kraj wielki:a punów kraj metalowiec kraj łysysch zwierzę hardkorowców
1908,1908,różowe misie pluszowe pumy wokoło gumy pozwolą dotknąć niczego ostrego mógłbyś zrobić kolego złego szpital psychiatryczny szpital szpital czubów szpital dziwnych zagorzali wielbiciele czerwonego misia robią wielki burdel panuje cisza dwunastką jasiu penisa pieści zaczyna krzyczeć dziurce mieści szpital psychiatryczny szpital szpital czubów szpital winnych,bunkier-szpital_psychiatryczny,różowy misi pluszowy puma wokoło:d guma pozwolić dotknąć:v1 nic ostry móc zrobić kolega zły:a szpital psychiatryczny szpital szpital czub:s1 szpital dziwny zagorzały:a1 wielbiciel czerwony:a misi robić wielki:a burdel panować cisza dwunastka jaś penis pieścić zaczynać krzyczeć dziurka mieścić szpital psychiatryczny szpital szpital czub:s1 szpital winny:a1
1909,1909,year atom year autobus year barbarzyncy year ciagle dazenia year film year year year marihuana year rzeczywistosc year nowy swiat year och year heniek year widzialem year bogow year zabijanie year znaczenie,bunkier-metric,year at:s2 year autobus year barbarzyncy year ciagle dazenia year film year year year marihuana year rzeczywistosc year nowy:a swiat year och year Heniek year widzialem year bogow year zabijać year znaczenie
