,Topic 0 words,Topic 0 weights,author_title
96,dać,8.0,maryla_rodowicz-jada_wozy_kolorowe
97,kto,6.0,maryla_rodowicz-jada_wozy_kolorowe
98,cygan,5.0,maryla_rodowicz-jada_wozy_kolorowe
99,jechać,5.0,maryla_rodowicz-jada_wozy_kolorowe
100,chrzan,16.0,maryla_rodowicz-chrzan
101,pani,14.0,maryla_rodowicz-chrzan
102,przestać,7.0,maryla_rodowicz-chrzan
103,płakać,5.0,maryla_rodowicz-chrzan
104,nikt,17.0,maryla_rodowicz-nikt_nam_nie_strzeli
105,strzelić,17.0,maryla_rodowicz-nikt_nam_nie_strzeli
106,wygrać,9.0,maryla_rodowicz-nikt_nam_nie_strzeli
107,polak,8.0,maryla_rodowicz-nikt_nam_nie_strzeli
108,zwieść,3.0,maryla_rodowicz-tak_naprawde_nie_dzieje_sie_nic
109,napisać,3.0,maryla_rodowicz-tak_naprawde_nie_dzieje_sie_nic
110,mądry,3.0,maryla_rodowicz-tak_naprawde_nie_dzieje_sie_nic
111,okrągły,3.0,maryla_rodowicz-tak_naprawde_nie_dzieje_sie_nic
112,bóg,7.0,maryla_rodowicz-opera_mydlana
113,historia,6.0,maryla_rodowicz-opera_mydlana
114,ekran,5.0,maryla_rodowicz-opera_mydlana
115,tv,4.0,maryla_rodowicz-opera_mydlana
116,trzymać,9.0,maryla_rodowicz-trzymaj_sie
117,bywać,6.0,maryla_rodowicz-trzymaj_sie
118,chmura,6.0,maryla_rodowicz-trzymaj_sie
119,mieszkać,6.0,maryla_rodowicz-trzymaj_sie
120,syn,6.0,maryla_rodowicz-chce_miec_syna
121,życie,5.0,maryla_rodowicz-chce_miec_syna
122,mieć,5.0,maryla_rodowicz-chce_miec_syna
123,chcieć,5.0,maryla_rodowicz-chce_miec_syna
124,kapusta,4.0,maryla_rodowicz-na_straganie
125,seler,4.0,maryla_rodowicz-na_straganie
126,rzepa,4.0,maryla_rodowicz-na_straganie
127,burak,4.0,maryla_rodowicz-na_straganie
128,pas,16.0,maryla_rodowicz-snieg_na_trzy_pas
129,walc,15.0,maryla_rodowicz-snieg_na_trzy_pas
130,śnieg,10.0,maryla_rodowicz-snieg_na_trzy_pas
131,trzy,7.0,maryla_rodowicz-snieg_na_trzy_pas
132,zwierz,10.0,maryla_rodowicz-zwierz_ze_zgierza
133,zwierzy,6.0,maryla_rodowicz-zwierz_ze_zgierza
134,zgierz,6.0,maryla_rodowicz-zwierz_ze_zgierza
135,dama,6.0,maryla_rodowicz-zwierz_ze_zgierza
136,naja,4.0,maryla_rodowicz-dziewczyna_gangstera
137,kupować,3.0,maryla_rodowicz-dziewczyna_gangstera
138,forsa,3.0,maryla_rodowicz-dziewczyna_gangstera
139,życie,2.0,maryla_rodowicz-dziewczyna_gangstera
140,dorożka,8.0,maryla_rodowicz-majaczek_biedaczka
141,pytać,4.0,maryla_rodowicz-majaczek_biedaczka
142,wciąż,4.0,maryla_rodowicz-majaczek_biedaczka
143,alkohol,3.0,maryla_rodowicz-majaczek_biedaczka
144,ballada,7.0,maryla_rodowicz-ballada_o_balladzie
145,życie,6.0,maryla_rodowicz-ballada_o_balladzie
146,rada,5.0,maryla_rodowicz-ballada_o_balladzie
147,barwny,5.0,maryla_rodowicz-ballada_o_balladzie
148,dama,11.0,maryla_rodowicz-dama_byc
149,chcieć,5.0,maryla_rodowicz-dama_byc
150,zrozumieć,4.0,maryla_rodowicz-dama_byc
151,serce,4.0,maryla_rodowicz-dama_byc
152,ambicja,5.0,maryla_rodowicz-machina_czasu
153,tradycja,5.0,maryla_rodowicz-machina_czasu
154,kto,4.0,maryla_rodowicz-machina_czasu
155,braćs,3.0,maryla_rodowicz-machina_czasu
156,życie,5.0,maryla_rodowicz-tak_czy_nie
157,chcieć,5.0,maryla_rodowicz-tak_czy_nie
158,gra,5.0,maryla_rodowicz-tak_czy_nie
159,musieć,5.0,maryla_rodowicz-tak_czy_nie
